brand,name,current_price,former_price
Ray-Ban,RB5154 Clubmaster,$155.40,$222.00
Oakley,Airdrop,$158.90,$227.00
Ray-Ban,RB7047,$123.20,$176.00
Ray-Ban,RB3547V Oval,$147.00,$210.00
Oakley,Socket 5.5,$158.90,$227.00
Ray-Ban,RB5387,$123.20,$176.00
Oakley,Overhead,$120.40,$172.00
Oakley,Neoastra,$145.60,$208.00
Oakley,Thinboard,$120.40,$172.00
Oakley,Metal Plate,$242.20,$346.00
Gucci,GG0011O,$391.00,$460.00
Versace,VE1274,$221.20,$316.00
Persol,PO3275V,$243.60,$348.00
Kate Spade,Lucyann,$161.00,$230.00
XXL,Egret,$107.44,$214.88
Versace,VE1288,$149.00,$298.00
Dolce & Gabbana,DG1347,$158.00,$316.00
Burberry,BE1392,$294.70,$421.00
FramesDirect Collection,V63027,$73.00,Unknown
Persol,PO3343V,$254.10,$363.00
RALPH by Ralph Lauren,RA7158U,$98.70,$141.00
Tiffany & Co.,TF2292F,$278.60,$398.00
Polo,PH2083,$140.70,$201.00
Ray-Ban,RB5397 - Elliot Optics,$147.00,$210.00
